pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
HD 207897 b,HD 207897,2021,Transit,2.34302132,14.8,Mass,16.20166,581.75,26.5,0.117,5106,0.7827,0.8208,-0.03,4.7,28.2938
HD 213885 b,HD 213885,2019,Transit,1.745,8.83,Mass,1.008035,2128,1882.94,0.02012,5978,1.1011,1.068,-0.04,3.8,48.0883
HD 21520 b,HD 21520,2024,Transit,2.697,17.7,Mass,25.1292,637,25.7431,0.1726,5871,1.044,1.09,0.049,5.3,79.208
HD 21749 c,GJ 143,2019,Transit,0.892,3.7,Mass,7.78993,701,305.9425,0.0695,4640,0.695,0.73,0.003,3.8,16.32
HD 219666 b,HD 219666,2018,Transit,4.898,17.6,Mass,6.034468,1076,598.4408,0.06356,5540,1.059,1.02,0.04,10,94.1719
HD 221416 b,HD 221416,2019,Transit,9.17,60.5,Mass,14.2767,1314.67,495.9065,0.1228,5080,2.943,1.212,-0.08,4.9,95.5483
HD 224018 c,HD 224018,2025,Transit,2.42,10.4,Mass,36.57669,641,28.2444,0.217,5784,1.147,1.013,0.05,7,105.48
HD 224018 d,HD 224018,2025,Transit,2.4,4.2,Mass,138.0731,411,4.7348,0.53,5784,1.147,1.013,0.05,7,105.48
HD 22946 d,HD 22946,2023,Transit,2.607,26.57,Mass,47.42489,546,18.561,0.2958,6169,1.117,1.098,-0.08,2.5,62.7792
HD 23472 b,HD 23472,2019,Transit,2,8.32,Mass,17.667087,543,16,0.1162,4684,0.71,0.67,-0.2,,39.0341
HD 23472 c,HD 23472,2019,Transit,1.87,3.41,Mass,29.79749,467,7.96,0.1646,4684,0.71,0.67,-0.2,,39.0341
HD 23472 d,HD 23472,2022,Transit,0.75,0.55,Mass,3.97664,909,117,0.04298,4684,0.71,0.67,-0.2,,39.0341
HD 23472 e,HD 23472,2022,Transit,0.818,0.72,Mass,7.90754,723,46.7,0.068,4684,0.71,0.67,-0.2,,39.0341
