pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
"iot Dra c","iot Dra",2021,"Radial Velocity",12.20000000,4958.12314920,"Msini",25000.00000000000,169.31,0.1402,19.4000000000,4504.00,11.790000,1.540000,0.0300,2.6500,31.32832000
"kap And b","kap And",2012,"Imaging",15.91675259,5498.43144110,"Mass",,1791.00,0.0207,55.0000000000,11327.00,2.109000,2.768000,0.0000,0.0470,50.01770000
"kap CrB b","kap CrB",2007,"Radial Velocity",13.30000000,689.69110000,"Mass",1253.68000000000,319.32,1.7376,2.5000000000,4840.00,4.680000,1.330000,0.0900,3.4200,30.06510000
"mu Leo b","mu Leo",2014,"Radial Velocity",13.30000000,762.80000000,"Msini",357.80000000000,704.49,51.7863,1.1000000000,4538.20,11.400000,1.500000,0.3600,3.3500,32.60810000
"mu2 Sco b","mu2 Sco",2022,"Imaging",12.30000000,4576.72906080,"Mass",,159.05,0.1074,242.4000000000,21700.00,5.600000,9.100000,,0.0200,
"nu Oct A b","nu Oct A",2016,"Radial Velocity",13.30000000,696.04421133,"Mass",402.40000000000,477.33,8.5848,1.2400000000,4910.00,5.040000,1.570000,0.1800,2.7000,21.19990000
"nu Oph b","nu Oph",2012,"Radial Velocity",12.00000000,7057.73298000,"Mass",529.93000000000,620.57,25.1924,1.7650000000,4887.00,12.240000,2.610000,0.1000,0.6500,46.21070000
"nu Oph c","nu Oph",2012,"Radial Velocity",12.00000000,7838.32346000,"Mass",3180.60000000000,341.48,2.3098,5.8290000000,4887.00,12.240000,2.610000,0.1000,0.6500,46.21070000
"ome Ser b","ome Ser",2013,"Radial Velocity",14.00000000,233.92170755,"Msini",278.59000000000,824.94,77.1527,0.8380000000,4724.00,10.990000,1.010000,-0.1200,,76.75560000
"omi CrB b","omi CrB",2012,"Radial Velocity",13.70000000,355.96781584,"Msini",187.01000000000,947.65,135.8368,0.6990000000,4769.00,11.870000,1.300000,-0.2700,7.8270,84.78830000
"omi UMa b","omi UMa",2012,"Radial Velocity",13.00000000,1160.39151396,"Msini",1569.81000000000,473.88,8.4795,3.6910000000,5075.00,13.840000,2.720000,-0.1600,,54.91490000
"pi Men c","HD 39091",2018,"Transit",2.01890000,3.63000000,"Mass",6.26783990000,1169.80,309.0000,0.0683900000,5998.00,1.170000,1.070000,0.0900,2.9800,18.27020000
"pi Men d","HD 39091",2022,"Radial Velocity",3.72000000,13.38000000,"Msini",124.64000000000,443.55,5.6398,0.5060000000,5998.00,1.190000,1.070000,0.0900,3.9200,18.27020000
"psi1 Dra B b","psi1 Dra B",2015,"Radial Velocity",13.50000000,486.27990000,"Msini",3117.00000000000,159.48,0.1079,4.4300000000,6212.00,1.255735,1.190000,0.0100,3.3000,22.71880000
"rho CrB b","rho CrB",1997,"Radial Velocity",13.70000000,347.99500000,"Msini",39.84900000000,614.00,34.7000,0.2245000000,5817.00,1.361700,1.000000,-0.2000,10.2000,17.46710000
